r_group	smiles	atom_num
C[*](=O)N1CCCC1	O=CN1CCCC1	7
O[*]c1ccccc1	Oc1ccccc1	7
c1[*]cnc(CC)[nH]1	CCc1ncc[nH]1	7
n1[*]c(C)csc1=O	Cc1csc(=O)[nH]1	7
C[*]CCNC(N)=O	CCCNC(N)=O	7
c1[*]ccc[nH]c1=S	S=c1cccc[nH]1	7
c1[*]ccccc1O	Oc1ccccc1	7
N1[*]CCNC(=O)C1	O=C1CNCCN1	7
c1[*]cccc(C)c1	Cc1ccccc1	7
O[*]c1cc[nH+]cc1	Oc1cc[nH+]cc1	7
C[*][C@@H](O)C(C)(C)C	C[C@@H](O)C(C)(C)C	7
n1[*]ncccc1=O	O=c1cccn[nH]1	7
c1[*]ccc(C)nc1	Cc1ccccn1	7
c1[*]ccnc(N)c1	Nc1ccccn1	7
C[*]C(=O)NC1CC1	CC(=O)NC1CC1	7
[C@H]1[*]C	CC1CCCCC1	7
c1[*]ccnn1CC	CCn1cccn1	7
C1[*]CC[NH+](C)CC1	C[NH+]1CCCCC1	7
c1[*]cnn(C)c1C	Cc1ccnn1C	7
C[*]c1[nH]cc(C)[nH+]1	Cc1c[nH]c(C)[nH+]1	7
[C@@H][*](O)c1ccco1	OCc1ccco1	7
[NH+]1[*]CCN(C)CC1	CN1CC[NH2+]CC1	7
[C@H][*](C)C1	CC1CCCCC1	7
c1[*]ccc[nH]c1=O	O=c1cccc[nH]1	7
c1[*]cccc(Cl)c1	Clc1ccccc1	7
c1[*]ccncc1C	Cc1cccnc1	7
c1[*]ccc(=O)[nH]c1	O=c1cccc[nH]1	7
c1[*]cccc(C)[nH+]1	Cc1cccc[nH+]1	7
C[*]Cc1cccs1	CCc1cccs1	7
C[*]C1CCCCC1	CC1CCCCC1	7
C[*]OC1CCCC1	COC1CCCC1	7
N[*]c1cccnn1	Nc1cccnn1	7
N[*]C[C@@H]1CCCO1	NC[C@@H]1CCCO1	7
C[*]c1ccc(C)o1	Cc1ccc(C)o1	7
C[*]N1CCCC1=O	CN1CCCC1=O	7
